work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,2,2,167,54000,91,0,86,1
2025,2,2,167,54000,91,0,86,1
2025,2,2,167,54000,91,0,86,1
2025,2,2,167,54000,91,0,86,1
2025,3,2,301,218100,91,0,86,1
2025,3,2,301,158800,91,0,86,1
2025,3,2,98,136000,91,0,86,1
2025,3,2,98,86000,91,0,86,1
2025,0,2,98,152000,91,0,86,1
2025,0,2,98,96000,91,0,86,1
2025,3,2,98,136000,91,0,86,1
2025,3,2,98,86000,91,0,86,1
2025,3,2,4,214032,91,0,86,1
2025,3,2,4,140700,91,0,86,1
2025,3,2,4,199000,91,100,86,1
2025,3,2,4,159200,91,100,86,1
2025,3,2,317,158113,91,0,86,1
2025,3,2,317,87795,91,0,86,1
2025,3,2,28,115000,91,0,86,1
2025,3,2,28,85000,91,0,86,1
2025,0,2,28,124600,91,0,86,1
2025,0,2,28,69000,91,0,86,1
2025,3,2,197,186800,91,100,86,1
2025,3,2,197,100900,91,100,86,1
2025,3,2,197,180000,91,0,86,1
2025,3,2,284,142000,13,100,12,1
2025,3,2,284,113000,13,100,12,1
2025,3,2,28,115000,91,0,86,1
2025,3,2,28,85000,91,0,86,1
2025,2,2,284,259000,91,0,86,1
2025,2,2,284,204000,91,0,86,1
2025,3,2,301,295000,91,0,86,1
2025,2,2,319,205800,91,0,86,1
2025,2,2,319,137200,91,0,86,1
2025,3,2,314,224000,91,100,86,1
2025,3,2,314,155000,91,100,86,1
2025,3,2,319,190000,91,0,86,1
2025,3,2,319,140000,91,0,86,1
2025,2,2,317,110000,91,0,86,1
2025,2,2,317,74935,91,0,86,1
2025,3,2,319,283990,91,0,86,1
2025,3,2,319,149471,91,0,86,1
2025,3,2,319,225000,91,0,86,1
2025,3,2,319,184000,91,0,86,1
2025,3,2,197,180650,91,0,86,1
2025,3,2,197,124700,91,0,86,1
2025,3,2,197,125000,91,0,86,1
2025,3,2,197,115000,91,0,86,1
2025,3,2,319,286000,91,0,86,1
2025,3,2,319,143000,91,0,86,1
